f1,f2,feasible,x1,x2,x3,x4,x5,x6,x7,x8,x9
5.889616951090250296e+00,2.891101824449899826e+00,1.000000000000000000e+00,7.805986824585639638e+00,1.810841351379231057e+01,1.000000827452076493e+02,1.230993336510892000e+01,4.967976264056207292e+00,6.374063044987454241e+00,5.000000237202898461e+02,9.799865584764381188e-01,1.018648483605333865e+01
5.890770330968893020e+00,2.697996460812181141e+00,1.000000000000000000e+00,7.805785696226578807e+00,1.810841513315975604e+01,1.000003079738798277e+02,1.236806263566301922e+01,4.959996459828113657e+00,9.720152581224063226e+00,5.000007489094538187e+02,9.799998688110387324e-01,1.018648565546188678e+01
5.832691936370379970e+00,2.060769270523334740e+01,1.000000000000000000e+00,7.805776759585212332e+00,1.810841300779030050e+01,1.000004184357827910e+02,9.464261881224233619e+00,4.969268408427788053e+00,7.395287187176906585e+00,5.000002490631124488e+02,9.799987737711959301e-01,1.018647365261027637e+01
5.807346025098275355e+00,3.370894646246200210e+01,1.000000000000000000e+00,7.805777993527228453e+00,1.810841415525299425e+01,1.000002958403597830e+02,8.197054244429509140e+00,4.829431922100901886e+00,1.516101375119100503e+01,5.000000182398360380e+02,9.799999382173906204e-01,1.018645916541813712e+01
5.829093661840087925e+00,2.227618107948073600e+01,1.000000000000000000e+00,7.806004788431323504e+00,1.810842570968351595e+01,1.000001393921171626e+02,9.283923287631811405e+00,4.959112801696599071e+00,1.015247691451359913e+01,5.000000580203044933e+02,9.799999627839267591e-01,1.018655166185053318e+01
5.813563359469701375e+00,3.019766691350044496e+01,1.000000000000000000e+00,7.805782564606619012e+00,1.810841415525299425e+01,1.000001387402671043e+02,8.507923962909444526e+00,4.832115051955326201e+00,1.217026120548545265e+01,5.000000175118259449e+02,9.799995695465835155e-01,1.018646103162897454e+01
5.876475679457008994e+00,5.541550512300768894e+00,1.000000000000000000e+00,7.805774447154271378e+00,1.810843624420050801e+01,1.000001654391250128e+02,1.165342555825205828e+01,4.947070306091563729e+00,8.474687306529117947e+00,5.000000136771255370e+02,9.799997747570230455e-01,1.018745373198766657e+01
5.808627065167164538e+00,3.297184259056172806e+01,1.000000000000000000e+00,7.805791536537352471e+00,1.810841552787061204e+01,1.000014019004454298e+02,8.260917715767842395e+00,4.987469496101494038e+00,1.487849820056210604e+01,5.000000610797034710e+02,9.799997344732737092e-01,1.018648626055107798e+01
5.909991793735555277e+00,4.846575343813597780e-01,1.000000000000000000e+00,7.805799087527308444e+00,1.810841412700737507e+01,1.000002024391995690e+02,1.332926617487276566e+01,4.988527692438357697e+00,1.324872867196473791e+01,5.000001997972867684e+02,9.799999013055427088e-01,1.018647699646752258e+01
5.804310712148290641e+00,3.549838553137059449e+01,1.000000000000000000e+00,7.805989757985857480e+00,1.810841444042995718e+01,1.000001325505090080e+02,8.044866295459538463e+00,4.961532306894856248e+00,1.413541422541776527e+01,5.000000824976987701e+02,9.799998705928826270e-01,1.018646204014970102e+01
5.844081389222505862e+00,1.576633609296295369e+01,1.000000000000000000e+00,7.805756593931167053e+00,1.810843860298256658e+01,1.000002582467146084e+02,1.003370034948072842e+01,4.959096301474789747e+00,1.011902539549727997e+01,5.000001135769626330e+02,9.799999824486557154e-01,1.018655609144077268e+01
5.915627134395736952e+00,1.863536630043262921e-01,1.000000000000000000e+00,7.806002443842630534e+00,1.810842311585131270e+01,1.000000131542584825e+02,1.361063836859166720e+01,4.916269445693832729e+00,9.286376408550710337e+00,5.000000168443551161e+02,9.799997287963305714e-01,1.018641669182604836e+01
5.850714307161691607e+00,1.324820620957030393e+01,1.000000000000000000e+00,7.806008250175805685e+00,1.810841719820892948e+01,1.000002059123750087e+02,1.036497139140161217e+01,4.957532566181002132e+00,1.101995936047632796e+01,5.000001168768961293e+02,9.799997093109786839e-01,1.018647580068623704e+01
5.823037399732728936e+00,2.522426402719999317e+01,1.000000000000000000e+00,7.805995917200617029e+00,1.810841525999677160e+01,1.000006938171037376e+02,8.981081975847379439e+00,5.095195059287358497e+00,1.670884056614173474e+01,5.000001831191772226e+02,9.799995753031979229e-01,1.018634885037463711e+01
5.833327250381755036e+00,2.032352155876029087e+01,1.000000000000000000e+00,7.805987703549024381e+00,1.810841354421576455e+01,1.000001473439552768e+02,9.495692882858469019e+00,4.951861213542522400e+00,8.270385382554968245e+00,5.000001171387761474e+02,9.799999041596737515e-01,1.018638388671889317e+01
5.811723989709288496e+00,3.122102599623648445e+01,1.000000000000000000e+00,7.805986096174700961e+00,1.810841401832024289e+01,1.000002798932030430e+02,8.415535091931582556e+00,4.969566450970560822e+00,1.664898736828000736e+01,5.000000313835652150e+02,9.799999042762614909e-01,1.018648776578876891e+01
5.872064642950303615e+00,6.625055224562412803e+00,1.000000000000000000e+00,7.805781693009185673e+00,1.810841368033016963e+01,1.000013806754187868e+02,1.143284628703747963e+01,4.987414819079781125e+00,1.364996324395439053e+01,5.000000046702832606e+02,9.799998379241708912e-01,1.018648602785506085e+01
5.895602012826898886e+00,1.992525078008912987e+00,1.000000000000000000e+00,7.805776306457886449e+00,1.810843860641809755e+01,1.000007177833156931e+02,1.260080274509703102e+01,4.972653871398084569e+00,1.194615193363008920e+01,5.000000053157227171e+02,9.795747596849971872e-01,1.018647283952605243e+01
5.853015812175506483e+00,1.242159922103511605e+01,1.000000000000000000e+00,7.805799829502008791e+00,1.810841409096224552e+01,1.000002838749824008e+02,1.048050624540503861e+01,5.028245697457920826e+00,1.270160025503833623e+01,5.000000051551813272e+02,9.799999942319065349e-01,1.018644820300066378e+01
5.824487711251021160e+00,2.449795734004581860e+01,1.000000000000000000e+00,7.805782463702141349e+00,1.810843682258169451e+01,1.000002442121571988e+02,9.053975390889441144e+00,4.950497003051185452e+00,9.670132170131227056e+00,5.000000889914015261e+02,9.799996029184098179e-01,1.018654196878601148e+01
5.863892259940434393e+00,8.889957077266721797e+00,1.000000000000000000e+00,7.805850173808349446e+00,1.810841295506854820e+01,1.000000582121948156e+02,1.102423145084686773e+01,5.016969785155155570e+00,8.787581010555102878e+00,5.000001012116770198e+02,9.799996339246063171e-01,1.018643663571783442e+01
5.810696970171414399e+00,3.179248746952627158e+01,1.000000000000000000e+00,7.805776102501017277e+00,1.810841419467437063e+01,1.000003148208430304e+02,8.364603524108327193e+00,4.961004946671378590e+00,1.479556743198440572e+01,5.000000127478603531e+02,9.799999132500766263e-01,1.018653157650646435e+01
5.866944252913005364e+00,8.007516370376787762e+00,1.000000000000000000e+00,7.805805393021491234e+00,1.810841731590598513e+01,1.000002030178432761e+02,1.117639541986087615e+01,4.965998338530946299e+00,1.113332317790993287e+01,5.000000300023344835e+02,9.799756832182291433e-01,1.018647666179484723e+01
5.815481165038291600e+00,2.915398386242437567e+01,1.000000000000000000e+00,7.805795494124549094e+00,1.810841451700625981e+01,1.000002016724356650e+02,8.603776833724172235e+00,4.967391262293437748e+00,1.252986863672346374e+01,5.000000050340416919e+02,9.799993471669611322e-01,1.018643873570815117e+01
5.862201200043655192e+00,9.399553857751966390e+00,1.000000000000000000e+00,7.805776620013598510e+00,1.810841279365640588e+01,1.000002923058822688e+02,1.093980709680470476e+01,4.958180316074521699e+00,1.251147894511781367e+01,5.000000330636876242e+02,9.799992876742821268e-01,1.018647587775665819e+01
5.907475062522382636e+00,6.698126006646163422e-01,1.000000000000000000e+00,7.805773249496998467e+00,1.810843789571640272e+01,1.000002007244498401e+02,1.320310707075151235e+01,4.941035907890078072e+00,8.487194738603978550e+00,5.000000378105891059e+02,9.799868247585126202e-01,1.018647857780018917e+01
5.806482048849877842e+00,3.426723700200686551e+01,1.000000000000000000e+00,7.805984584469157994e+00,1.810841467488099710e+01,1.000331238082947181e+02,8.149145370558139589e+00,4.934766820886510530e+00,9.758401849092305014e+00,5.000001208933376802e+02,9.799920340733337953e-01,1.018637893428609331e+01
5.853488796564484176e+00,1.225847356441915892e+01,1.000000000000000000e+00,7.806003849237989733e+00,1.810841409096224552e+01,1.000002045644253457e+02,1.050375763488916903e+01,5.028245697457920826e+00,1.409784511300124699e+01,5.000000039724309886e+02,9.799999942319065349e-01,1.018644808613493780e+01
5.867505984924639151e+00,7.849172800823797758e+00,1.000000000000000000e+00,7.806004543445183685e+00,1.810841401832024289e+01,1.000001446206102429e+02,1.120457184768588021e+01,5.026791778144758638e+00,1.656080453051739809e+01,5.000002034520389884e+02,9.799999041596737515e-01,1.018642490733124717e+01
5.912849197063131612e+00,3.134624942284614524e-01,1.000000000000000000e+00,7.805791701964284179e+00,1.810841499353137607e+01,1.000006682672493952e+02,1.347209311565316803e+01,4.937363240879498072e+00,1.489592209395852862e+01,5.000001649808169759e+02,9.799997441269334697e-01,1.018648543022896469e+01
5.808811133666249127e+00,3.286782957373778657e+01,1.000000000000000000e+00,7.805773249496998467e+00,1.810842604243350351e+01,1.000002007244498401e+02,8.269986447331961088e+00,4.818684329671269140e+00,8.032883247779313507e+00,5.000000190118302612e+02,9.799868247585126202e-01,1.018647857780018917e+01
5.820939425941178413e+00,2.628239636899875364e+01,1.000000000000000000e+00,7.805757089650684932e+00,1.810841597412795068e+01,1.000000959394245683e+02,8.876760447330237724e+00,4.985739707542894195e+00,7.728326591986003358e+00,5.000000908201237735e+02,9.799998625238254268e-01,1.018658203278688745e+01
5.838762741048327598e+00,1.795047617523878358e+01,1.000000000000000000e+00,7.805783812603822369e+00,1.810842493101894490e+01,1.000011751303256204e+02,9.767305971734515424e+00,4.972884801443155922e+00,1.387422117191934134e+01,5.000000231149179513e+02,9.799808915802676879e-01,1.018648709961948562e+01
5.873739464483120010e+00,6.210154297862846562e+00,1.000000000000000000e+00,7.806105783076668025e+00,1.810843902247722781e+01,1.000078544363810664e+02,1.151496913603373073e+01,4.959911621184539321e+00,8.722057318457903108e+00,5.000000199338490461e+02,9.799995998115884621e-01,1.018648298313225276e+01
5.911740230741124869e+00,3.756185703117704833e-01,1.000000000000000000e+00,7.805788786665279311e+00,1.810841451963381843e+01,1.000007015291386381e+02,1.341619949170785731e+01,4.912223211768135478e+00,1.461892921669525869e+01,5.000001517786326417e+02,9.799779855762767999e-01,1.018653561812588570e+01
5.845266389116499539e+00,1.529992661988241132e+01,1.000000000000000000e+00,7.805756593931167053e+00,1.810843724247806819e+01,1.000002582467146084e+02,1.009293928321701728e+01,4.959096301474789747e+00,1.039183921841354952e+01,5.000001135769626330e+02,9.799990593135420314e-01,1.018655609144077268e+01
5.863568078194917099e+00,8.987497712683962803e+00,1.000000000000000000e+00,7.805850173808349446e+00,1.810841295506854820e+01,1.000012829646907022e+02,1.100788718569199354e+01,5.016984084790538034e+00,8.569433741124020898e+00,5.000000553054210286e+02,9.799999431549750728e-01,1.018643663571783442e+01
5.826905851605315156e+00,2.331956635115177789e+01,1.000000000000000000e+00,7.806015048268289291e+00,1.810841534341260939e+01,1.000001609758765824e+02,9.174570336430187822e+00,4.958236775658646955e+00,1.032371742009895499e+01,5.000000429821305374e+02,9.799997140890033265e-01,1.018653394621972907e+01
5.825436384040548532e+00,2.403134083801340637e+01,1.000000000000000000e+00,7.805776738886961219e+00,1.810841300972474954e+01,1.000004335633282011e+02,9.101371223865440285e+00,5.053282696103795324e+00,7.664507585590180305e+00,5.000007710828641052e+02,9.799997017670094568e-01,1.018648579474005444e+01
5.829276884693929794e+00,2.219002635734825901e+01,1.000000000000000000e+00,7.806004788431323504e+00,1.810842529290757597e+01,1.000001393921171626e+02,9.293066302271821399e+00,4.969592539397818420e+00,1.438525464608691884e+01,5.000000580203044933e+02,9.799989721944569743e-01,1.018655166185053318e+01
5.914784380732850622e+00,2.206747764351715269e-01,1.000000000000000000e+00,7.805782728746359922e+00,1.810842480241391783e+01,1.000003076586596364e+02,1.356887361739792297e+01,4.925190051778414180e+00,7.673631251660816055e+00,5.000001158464968967e+02,9.799999777664718525e-01,1.018656049597816526e+01
5.879386090499226114e+00,4.881012562822413692e+00,1.000000000000000000e+00,7.805986912319486493e+00,1.810841386036031153e+01,1.000003462638240563e+02,1.179858815653401294e+01,4.953673115447300823e+00,1.350790825202984280e+01,5.000002034520389884e+02,9.799999053846385477e-01,1.018654344874612505e+01
5.892741322455489872e+00,2.386017233730637788e+00,1.000000000000000000e+00,7.805773572285341189e+00,1.810841415343807626e+01,1.000001908301560718e+02,1.246680686474516619e+01,4.810134224236181311e+00,1.211951456049233045e+01,5.000001234035053130e+02,9.799995571175875719e-01,1.018797883853798680e+01
5.843213804504038045e+00,1.611485577287020377e+01,1.000000000000000000e+00,7.806004815123797513e+00,1.810841398092631493e+01,1.000001775139897831e+02,9.990002227099353149e+00,4.968549391764347511e+00,8.495328635425604347e+00,5.000000120618259984e+02,9.799997112901241980e-01,1.018647689991539451e+01
5.878066134798558551e+00,5.176326846211507515e+00,1.000000000000000000e+00,7.806008250175805685e+00,1.810841719820892948e+01,1.000002059123750087e+02,1.173250048656465694e+01,4.888679252851550139e+00,1.326749709878511041e+01,5.000000902329842916e+02,9.799963984575791320e-01,1.018647467061772538e+01
5.826357098441150129e+00,2.358524865707773088e+01,1.000000000000000000e+00,7.806015114572153912e+00,1.810841720716563685e+01,1.000002032175041506e+02,9.147116794918034088e+00,4.958236775658646955e+00,1.098951915816817504e+01,5.000000422473477215e+02,9.799997394593821243e-01,1.018647588292086681e+01
5.845561139060383660e+00,1.518712383081907014e+01,1.000000000000000000e+00,7.805777875620684370e+00,1.810844091571347292e+01,1.000007786589123384e+02,1.010739845675194992e+01,4.990886240628336523e+00,1.651660192471324962e+01,5.000007809255669713e+02,9.799999317307800384e-01,1.018648607541039119e+01
5.872229131252235668e+00,6.584951130387956653e+00,1.000000000000000000e+00,7.805792156494566925e+00,1.810842493101894490e+01,1.000003065081267124e+02,1.144066921052272079e+01,4.988017063817330232e+00,1.387422117191934134e+01,5.000000206034661119e+02,9.799785488167966907e-01,1.018648603277876497e+01
5.908252254925212554e+00,6.097627445854574280e-01,1.000000000000000000e+00,7.805986824585639638e+00,1.810841351903032503e+01,1.000000927772002228e+02,1.324169733841507579e+01,4.967054430766668638e+00,1.660228851365461367e+01,5.000000271203502393e+02,9.799866025095845812e-01,1.018638620662129846e+01
5.881140556246934104e+00,4.501066762633769258e+00,1.000000000000000000e+00,7.805781693009185673e+00,1.810841368033016963e+01,1.000013806754187868e+02,1.188664045338697584e+01,5.011312193134683568e+00,1.364996324395439053e+01,5.000000094153226655e+02,9.799998229312678610e-01,1.018648911328375739e+01
5.892552072732310187e+00,2.415826594364149482e+00,1.000000000000000000e+00,7.805987305845772717e+00,1.810841289339117210e+01,1.000003078075585421e+02,1.245693081022808713e+01,4.963119736199490539e+00,1.431580947557149486e+01,5.000000547643581399e+02,9.799997396352277956e-01,1.018645125352434988e+01
5.865530707570633773e+00,8.411576739805699532e+00,1.000000000000000000e+00,7.805788786665279311e+00,1.810842491518377884e+01,1.000001212240032800e+02,1.110573349802546161e+01,4.911789593107572571e+00,1.400503107718025930e+01,5.000001517786326417e+02,9.799779855762767999e-01,1.018654263682538996e+01
5.830419712512273200e+00,2.166433168970633716e+01,1.000000000000000000e+00,7.805779001366461856e+00,1.810843734107854885e+01,1.000111407939143220e+02,9.349241188387663826e+00,4.956360544585007410e+00,1.639390220412640176e+01,5.000000206953873771e+02,9.799999351907957568e-01,1.018647832559454969e+01
5.865530707570633773e+00,8.411576739805699532e+00,1.000000000000000000e+00,7.805788786665279311e+00,1.810842491518377884e+01,1.000001212240032800e+02,1.110573349802546161e+01,4.911422747228922248e+00,1.400972475930489836e+01,5.000001517786326417e+02,9.799779855762767999e-01,1.018654263682538996e+01
5.811195070619343817e+00,3.152414608227058679e+01,1.000000000000000000e+00,7.806226728392529068e+00,1.810843683772037238e+01,1.000001029449518057e+02,8.388460712534149266e+00,4.950527854623085311e+00,1.354864615067186229e+01,5.000001354352941689e+02,9.799995993656009929e-01,1.018647495139519243e+01
5.854720064410234848e+00,1.183302835486454896e+01,1.000000000000000000e+00,7.805818104344622199e+00,1.810841417501063688e+01,1.000002581266084007e+02,1.056514463757939026e+01,4.968988864922854631e+00,9.816003999341770481e+00,5.000001970246450469e+02,9.799763489495427748e-01,1.018653952427013998e+01
5.815496301404806445e+00,2.915396321854771244e+01,1.000000000000000000e+00,7.806173923548534788e+00,1.810841451700625981e+01,1.000002016724356650e+02,8.603776833724172235e+00,4.969445121343702532e+00,1.445366367789500295e+01,5.000000050340416919e+02,9.799993491128373702e-01,1.018638336378494813e+01
5.894677193502028345e+00,2.098506635045480184e+00,1.000000000000000000e+00,7.805781722875907214e+00,1.810841288849193020e+01,1.000002324880687468e+02,1.256343128134932208e+01,4.959639824567242172e+00,9.841839490682410485e+00,5.000007568264021529e+02,9.799997078399982353e-01,1.018648579474005444e+01
5.830351352617661576e+00,2.168272680000224995e+01,1.000000000000000000e+00,7.805779086840527015e+00,1.810841751380664277e+01,1.000005850543134613e+02,9.347267083177911218e+00,4.962301889011512479e+00,1.053951168453789755e+01,5.000000018256902194e+02,9.799999789832585240e-01,1.018655617042185924e+01
5.816526886447080713e+00,2.859650882133725247e+01,1.000000000000000000e+00,7.805986912319486493e+00,1.810841414490229440e+01,1.000000987403425512e+02,8.655685685011842878e+00,4.968823006637202333e+00,7.240948806615747912e+00,5.000000893583940069e+02,9.799999041596737515e-01,1.018658328957846315e+01
5.838565659122772367e+00,1.803365989917347889e+01,1.000000000000000000e+00,7.806004815123797513e+00,1.810842529362186681e+01,1.000001463420591392e+02,9.757493714500304449e+00,4.969785666709273464e+00,8.590417202542417030e+00,5.000001023519395744e+02,9.799990058136019977e-01,1.018654842982200748e+01
5.860095533899714049e+00,1.005495491739076641e+01,1.000000000000000000e+00,7.805778043224094631e+00,1.810841375329886205e+01,1.000002330103522041e+02,1.083453211371417879e+01,4.832439274968239218e+00,1.210091227535747649e+01,5.000000168264184026e+02,9.799995497250523213e-01,1.018646173410097333e+01
