f1,f2,feasible,x1,x2,x3,x4,x5,x6,x7,x8
5.091285228530423979e+00,2.067167324347726765e-02,1.000000000000000000e+00,1.967421793224313475e+01,7.215690011035758467e+00,1.000005263788374492e+02,1.400916657245205421e+01,5.031391599493573175e+00,1.701548005037751388e+00,5.000001133621369149e+02,9.797954045237783349e-01
5.063394966720387913e+00,2.244208950392487245e-01,1.000000000000000000e+00,1.967317980275408118e+01,6.988754617966771221e+00,1.000005542163007703e+02,1.398259022324601553e+01,4.984345742794566547e+00,1.956026216960934150e+00,5.000000251130290394e+02,9.799984643773761439e-01
5.028519252386472793e+00,3.001556656097188913e+00,1.000000000000000000e+00,1.967337656591913841e+01,6.971682447326923437e+00,1.000002170026304782e+02,1.234090307811133691e+01,4.956224508473727752e+00,2.540299000912932037e+00,5.000000398086303903e+02,9.799994534068962038e-01
5.001436483015337053e+00,9.320951485147038085e+00,1.000000000000000000e+00,1.967420505199781644e+01,6.971142745154351061e+00,1.000000470966649573e+02,1.098808576007029636e+01,4.913509256007613679e+00,3.265531419103888222e+00,5.000011470781942649e+02,9.799992367785408387e-01
5.095409700707295819e+00,7.134466627435213926e-03,1.000000000000000000e+00,1.982525024653711299e+01,7.207513557260877057e+00,1.000000624293489011e+02,1.396670920865776466e+01,5.025618292600820602e+00,1.542080941788043669e+00,5.000000011822151009e+02,9.799989135228200920e-01
4.994117775656894409e+00,1.166309348829465797e+01,1.000000000000000000e+00,1.967317980275408118e+01,6.971602616058943269e+00,1.000014702458612703e+02,1.062155144789960559e+01,5.040238405695423474e+00,1.147950862527134408e+00,5.000000520930477705e+02,9.799999056991689494e-01
5.012416184135942920e+00,6.321132381708633119e+00,1.000000000000000000e+00,1.967337688616166957e+01,6.971666120371382114e+00,1.000002055614027228e+02,1.153582590798582785e+01,5.019476237168555954e+00,1.244592929029542328e+00,5.000001398055842969e+02,9.799995729879946715e-01
5.011491691638816803e+00,6.550089201135387285e+00,1.000000000000000000e+00,1.967337950509583777e+01,6.971639730975573102e+00,1.000000043553579161e+02,1.148980628067872978e+01,5.022341962984206098e+00,1.552838313327847386e+00,5.000000142760316635e+02,9.799993504587066750e-01
5.021843815155450308e+00,4.599067591200601157e+00,1.000000000000000000e+00,1.967317980260828492e+01,6.988180798588625287e+00,1.000001273539009503e+02,1.190855676893104942e+01,5.009839083291524275e+00,3.043871613006019494e+00,5.000000037719075294e+02,9.799995455114388632e-01
5.022655285946333592e+00,4.051460607105528133e+00,1.000000000000000000e+00,1.967371404602544160e+01,6.971126683165890903e+00,1.000018585902886485e+02,1.205016652310474790e+01,5.014163988984428499e+00,1.586642051194293579e+00,5.000000524009038827e+02,9.799999570774435842e-01
4.963486338015404620e+00,2.437993398301058079e+01,1.000000000000000000e+00,1.967448495064965641e+01,6.971581818818656018e+00,1.000002645888883848e+02,9.087625956371027769e+00,5.028051917291574746e+00,1.565007522369096682e+00,5.000000128247951352e+02,9.799985313070435078e-01
4.996223234738367935e+00,1.094402607095864965e+01,1.000000000000000000e+00,1.967318317131726602e+01,6.971117461594474207e+00,1.000000021998570503e+02,1.072981361741814332e+01,4.985640341561205169e+00,1.080267633551656337e+00,5.000003563299162579e+02,9.799988290561921778e-01
5.026487888703043083e+00,3.344659177004920991e+00,1.000000000000000000e+00,1.967413924513597578e+01,6.971213504629369950e+00,1.000000471188867266e+02,1.224062328331542204e+01,5.039048529892164119e+00,2.829916524075014372e+00,5.000001661426403530e+02,9.799999547189912619e-01
4.975349707251727871e+00,1.888250111364183681e+01,1.000000000000000000e+00,1.967311723201656903e+01,6.971611746695403511e+00,1.000000070443402080e+02,9.683369064387939318e+00,5.040993787742808152e+00,2.032950463560491694e-01,5.000001692724562190e+02,9.799997651808078913e-01
4.970967222134890839e+00,2.083287974227211592e+01,1.000000000000000000e+00,1.967338811738230220e+01,6.971646896534709370e+00,1.000034986898208729e+02,9.463054066197415182e+00,4.922497117152688340e+00,8.926524239378845760e-01,5.000001757400415272e+02,9.799997651808078913e-01
4.977164220443471621e+00,1.809856687346941584e+01,1.000000000000000000e+00,1.967337440043469599e+01,6.971258474184056197e+00,1.000037054956626719e+02,9.775195380823545221e+00,4.908473569790546165e+00,1.285351730676493442e+00,5.000003021025120802e+02,9.799993268808654401e-01
5.097516886888063148e+00,2.848215513569702685e-03,1.000000000000000000e+00,1.998165548639946110e+01,7.169675169254075442e+00,1.000020013998780826e+02,1.398605826883775549e+01,5.018364780115204482e+00,1.415831552383026715e+00,5.000000129915797515e+02,9.799996446974474917e-01
5.042061744503150145e+00,1.212206412004072753e+00,1.000000000000000000e+00,1.967337486108752742e+01,6.971582444653996014e+00,1.000000584900158742e+02,1.301862283693255762e+01,4.910644702695493358e+00,1.437229650968575800e+00,5.000001445672633622e+02,9.799993623067244641e-01
4.970363262990074027e+00,2.109489696841622575e+01,1.000000000000000000e+00,1.967312404818214588e+01,6.971547427889174031e+00,1.000010220603117972e+02,9.434301214154235282e+00,4.984545857327507434e+00,1.297105140328312478e+00,5.000001516526468208e+02,9.799999838824055010e-01
4.998142181248845795e+00,1.032827422070680967e+01,1.000000000000000000e+00,1.967322338404603599e+01,6.971185702686645946e+00,1.000001144777944972e+02,1.082533602820342011e+01,4.963755876822460777e+00,1.354062237214415543e+00,5.000000348157654457e+02,9.799987624754969984e-01
